Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2025-05,LTSE (L),10311641,3262026,15431904,29005571,273322562.83939993,152811834.5439,209680059.1689,635814456.5522,28707,12229,38885,79821
2025-05,MIAX Pearl (H),654290950,1110109745,2269029710,4033430405,21312905847.782898,45031686310.02721,49417777439.73391,115762369597.544,6150709,3531153,9389097,19070959
2025-05,Members Exchange (U),1411700160,1580883886,5919451624,8912035670,62555615966.168,73846189957.75288,138462996878.5401,274864802802.46106,15909771,6628486,23796232,46334489
2025-05,NASDAQ (Q),10066470233,4378210238,33683974638,48128655109,561360496945.9094,335548832557.31085,2011153242189.0515,2908062571692.272,149885366,27442913,241142399,418470678
2025-05,NASDAQ BX (B),305591944,209178589,428355921,943126454,20801225428.438198,11194432009.468102,24096474938.029705,56092132375.936,4542778,1575971,4678274,10797023
2025-05,NASDAQ PSX (X),123047396,90982773,167888138,381918307,8168122021.588999,12328243406.216501,10571747218.9362,31068112646.741703,2249123,539327,2331955,5120405
2025-05,NYSE (N),24116804408,1504174352,2678171609,28299150369,1350786535274.9802,82309204494.77359,111334556781.4423,1544430296551.1963,83522400,5486280,20977502,109986182
2025-05,NYSE American (A),126002054,479992770,158482264,764477088,5751104535.0738,5628311200.334501,6949959872.815399,18329375608.223705,1396281,1458547,1478935,4333763
2025-05,NYSE Arca (P),4925894554,9243764319,26135240231,40304899104,243069060937.51797,589492760530.3367,621173101600.1884,1453734923068.043,58865577,40282399,126857204,226005180
2025-05,NYSE National (C),428457269,232705695,488651160,1149814124,14324450905.3672,10889848890.6487,14806802355.172798,40021102151.18869,5325398,1373960,4697247,11396605
2025-05,NYSE Texas (M),367142579,340166753,510061119,1217370451,30644186235.011894,48790835827.71011,72905974805.27899,152340996868.001,544045,219767,585052,1348864
2025-06,BYX Equities (Y),798706393,531547313,1153773421,2484027127,31350099125.537395,25067069822.230007,39377495270.7092,95794664218.47661,9984933,3051204,10334334,23370471
2025-06,BZX Equities (Z),3762568421,2767192543,5561120999,12090881963,199270271550.4367,210439178898.94485,295692206362.5907,705401656811.9723,53533291,13916720,54578906,122028917
2025-06,EDGA Equities (J),592997420,474604794,1305330603,2372932817,22989365592.983494,29885572814.995995,33341317012.703606,86216255420.68309,8653644,2738444,9606877,20998965
2025-06,EDGX Equities (K),3208279635,3677256638,11771477456,18657013729,145898112398.4265,164026884072.47946,340279865298.45483,650204861769.3611,33240201,16970137,63618989,113829327
2025-06,FINRA / NYSE TRF (DN),1474007455,1002382830,2892840358,5369230643,61126027137.930595,35273451536.06889,115335130283.2654,211734608957.2649,9626140,2214533,10710068,22550741
2025-06,FINRA / Nasdaq TRF Carteret (DQ),51051180629,31132264864,99132360208,181315805701,2244018633933.7305,1263325112355.7693,3260177400912.921,6767521147202.423,331158672,88260032,377191443,796610147
2025-06,FINRA / Nasdaq TRF Chicago (DB),222638624,129511614,495934905,848085143,11720867962.787003,5940923356.3812,36173059169.962906,53834850489.1311,1562255,523306,2985277,5070838
2025-06,Investors Exchange (V),3793153932,1669989240,3942242023,9405385195,190870675200.28857,82905765212.20708,186907150397.6992,460683590810.1948,44448005,7410893,39141320,91000218
2025-06,LTSE (L),1681503,4014110,6783316,12478929,67850359.9636,71054473.9416,90918759.7131,229823593.61830002,9092,10092,16632,35816
2025-06,MIAX Pearl (H),669135878,1156380912,1908528188,3734044978,23528127121.222702,59856571736.22621,48004953722.5744,131389652580.02332,6446504,4255469,8900134,19602107
2025-06,Members Exchange (U),1383481451,1759108125,4948402179,8090991755,63596402015.430695,86593829964.30588,135009275768.6006,285199507748.3372,15586922,7111159,22488211,45186292
2025-06,NASDAQ (Q),9551969274,4608741918,34142648486,48303359678,546465230855.08826,376944863869.368,2095724153187.918,3019134247912.3745,142761036,27888040,227202386,397851462
2025-06,NASDAQ BX (B),284762981,202742619,382495360,870000960,19598591793.6903,10522317543.139801,23474807950.5664,53595717287.39651,4211155,1365968,4596799,10173922
2025-06,NASDAQ PSX (X),130112353,98880091,170123949,399116393,8679042672.9162,12324197930.344997,11820956327.588701,32824196930.849895,2350811,566683,2588577,5506071
2025-06,NYSE (N),26200461514,1692909910,2654084659,30547456083,1447938900974.617,95700472057.20691,104038211113.29271,1647677584145.1167,75037650,6100703,19486562,100624915
2025-06,NYSE American (A),130989388,811691543,149241152,1091922083,6267340542.84,7304856288.163602,6948830038.2009,20521026869.204502,1403153,1673590,1485123,4561866
2025-06,NYSE Arca (P),4906198693,9921820480,22067329205,36895348378,242560184384.55508,660215343221.018,627423504174.7338,1530199031780.307,58290374,42083940,123124059,223498373
2025-06,NYSE National (C),429793340,308535954,477693423,1216022717,14745333595.632101,14234284084.1895,16602658822.632504,45582276502.4541,5280671,1850101,4698096,11828868
2025-06,NYSE Texas (M),362029263,396224822,446406273,1204660358,29749249430.918297,52963230068.4832,73312586651.89291,156025066151.2944,567680,208957,556986,1333623
2025-07,BYX Equities (Y),909490689,573962033,1299440656,2782893378,39031743768.954796,31205566414.484695,45477072165.7638,115714382349.2033,11325025,3498287,12245004,27068316
2025-07,BZX Equities (Z),4411662267,2941086345,6683999525,14036748137,244605413981.2437,238142785319.71707,331226908027.12335,813975107328.0841,64677328,16030849,64096472,144804649
2025-07,EDGA Equities (J),678126851,495299158,2079628663,3253054672,30443734759.740906,33630582395.115204,36821452234.3905,100895769389.2466,9360674,3103386,10755495,23219555
2025-07,EDGX Equities (K),3647977878,3777632207,11888471232,19314081317,163845910021.9453,184517612492.2727,343114128195.74365,691477650709.9615,39342636,18563179,69231012,127136827
2025-07,FINRA / NYSE TRF (DN),2273240454,1727272958,8086480313,12086993725,84291219396.4685,51262942537.20879,163617388040.00912,299171549973.6864,12616185,3634882,17439940,33691007
2025-07,FINRA / Nasdaq TRF Carteret (DQ),53035450798,30504722083,108935389647,192475562528,2454858632420.3135,1296694410862.8308,3433377755629.1865,7184930798912.331,379660837,98578492,427171903,905411232
2025-07,FINRA / Nasdaq TRF Chicago (DB),285017810,144851467,610358433,1040227710,14129561478.1484,6384388608.431001,36995559788.1866,57509509874.766,1823367,582810,3339040,5745217
2025-07,Investors Exchange (V),4495908607,1781762245,4612963066,10890633918,238616970409.20517,95217418931.5304,222092693330.849,555927082671.5846,53198034,8254537,46071825,107524396
2025-07,LTSE (L),3003337,4528093,7079138,14610568,135807064.399,93663418.21039999,155397351.9681,384867834.5774999,20362,10557,24862,55781
2025-07,MIAX Pearl (H),765222038,1321747152,2123562201,4210531391,27658307727.769505,75493205048.6386,52272083434.176506,155423596210.5846,7542302,5153161,10286436,22981899
2025-07,Members Exchange (U),1556878328,1730375728,5854835527,9142089583,75407605831.8295,105448113507.04198,142432398596.5326,323288117935.4041,17778184,8057499,25022743,50858426
2025-07,NASDAQ (Q),11225412174,4822955625,35863397469,51911765268,681940344098.9933,397563327293.01135,2178526103902.4705,3258029775294.475,164017091,30519624,255654126,450190841
2025-07,NASDAQ BX (B),331240868,226002825,465079612,1022323305,24962330870.523205,11294615085.5962,26494553888.3291,62751499844.4485,5064278,1566033,5549723,12180034
2025-07,NASDAQ PSX (X),150695601,103802212,227364018,481861831,10731642061.0525,11514568945.682901,12995547130.997301,35241758137.732704,2872211,590416,3137415,6600042
2025-07,NYSE (N),24962800281,2133615499,3043013032,30139428812,1399506126627.4102,125819976656.4368,113239127891.092,1638565231174.9395,84023442,7417960,22652416,114093818
2025-07,NYSE American (A),147800381,570556678,181349669,899706728,7671241333.982499,8052528304.9304,8057620827.1136,23781390466.026497,1579477,1836263,1616638,5032378
2025-07,NYSE Arca (P),5892357842,10062924778,24221121965,40176404585,284978644671.9959,700921774448.7251,680679651197.5598,1666580070318.281,67421823,46571082,140967514,254960419
2025-07,NYSE National (C),516364516,351138855,625271893,1492775264,18267198608.216095,16897303026.492403,18529927255.7721,53694428890.4806,6116284,2255245,5818216,14189745
2025-07,NYSE Texas (M),424923896,351191420,577174182,1353289498,35903049876.88811,46349262297.088295,97174100592.698,179426412766.6744,645214,180661,699284,1525159
2025-08,BYX Equities (Y),793707294,545901166,1121351938,2460960398,34643331192.3313,29129202812.845898,42075144862.7825,105847678867.95967,10776492,3321914,11653824,25752230
2025-08,BZX Equities (Z),4198195440,2996997918,6001573126,13196766484,224255776731.0418,237411247919.78326,325618254019.4964,787285278670.3215,61231689,16508642,63106008,140846339
2025-08,EDGA Equities (J),562285751,515211622,1572298261,2649795634,25796198168.218597,29748060946.163902,33454806481.6511,88999065596.0336,8419538,2987123,10276922,21683583
2025-08,EDGX Equities (K),2898070559,3385674656,9971331411,16255076626,143431558133.41202,160161421900.09976,329470311630.5228,633063291664.0348,35934052,17498026,62138443,115570521
2025-08,FINRA / NYSE TRF (DN),3484638991,3366781823,11275366596,18126787410,119811664748.55159,84382560324.775,328166878031.8558,532361103105.1824,15424596,5823302,26938390,48186288
2025-08,FINRA / Nasdaq TRF Carteret (DQ),44459273624,27214404048,83553576191,155227253863,2243870196218.1064,1231350900845.9958,3327914445570.978,6803135542635.08,359481357,93758300,409750676,862990333
2025-08,FINRA / Nasdaq TRF Chicago (DB),234483610,156816274,605095747,996395631,13253313787.8094,7280402497.3275,38597144495.515686,59130860780.6526,1671023,647692,3415903,5734618
2025-08,Investors Exchange (V),4187851446,1728761853,4520976672,10437589971,217250500515.48062,93681941346.39551,219464282261.161,530396724123.037,51365570,7879036,45926109,105170715
2025-08,LTSE (L),6701934,6274343,10952606,23928883,352177912.47499996,286255196.3143,341721559.9642,980154668.7535001,88026,21741,101413,211180
2025-08,MIAX Pearl (H),563887088,1191171511,1797048901,3552107500,20798397635.665005,56652120904.75371,50918601921.5052,128369120461.92392,6135054,4652790,9407627,20195471
2025-08,Members Exchange (U),1172679608,1462023629,3834097785,6468801022,61563852849.518906,77255032510.7016,122736980565.12112,261555865925.3416,13879794,6749654,20364329,40993777
2025-08,NASDAQ (Q),9739238044,4640183089,33429243925,47808665058,605527266253.2976,415281685444.64954,2135801444332.4624,3156610396030.409,150014760,31494622,249440067,430949449
2025-08,NASDAQ BX (B),279703693,198095709,431612728,909412130,21196178731.6503,9944280339.6156,24375596797.5952,55516055868.8611,4570271,1336685,5202738,11109694
2025-08,NASDAQ PSX (X),126126760,93587323,185429626,405143709,9370116634.3674,11053896454.320602,11964170718.780197,32388183807.4682,2448428,534099,2704794,5687321
2025-08,NYSE (N),22845959592,1891710469,2827803579,27565473640,1299968618960.636,107098102167.8856,113091851078.68448,1520158572207.206,87812885,7950602,22967732,118731219
2025-08,NYSE American (A),117261219,536779806,153690384,807731409,5716231504.424801,9370504825.464901,6696216248.0762005,21782952577.9659,1319835,1882231,1370341,4572407
2025-08,NYSE Arca (P),5007207243,9928396721,19594950854,34530554818,258770796284.54953,724779396890.7504,669561437736.0398,1653111630911.3394,63751581,48000943,130856581,242609105
2025-08,NYSE National (C),454730126,320635856,543752942,1319118924,17275017090.411903,14404114532.6875,17643618810.4816,49322750433.581,5909499,2157990,5700726,13768215
2025-08,NYSE Texas (M),349606126,337245239,554419729,1241271094,31922515512.330902,43832370366.456406,87252664030.9708,163007549909.75806,633792,164510,741351,1539653
2025-09,BYX Equities (Y),797020595,574916088,1140045206,2511981889,33605274181.7707,29131566667.297302,44767263948.0672,107504104797.1352,9905776,3370114,11367224,24643114
2025-09,BZX Equities (Z),4091382100,3241757936,6006451969,13339592005,228698855710.0655,266705205473.1133,378399696563.6792,873803757746.8579,59944681,18221014,67697715,145863410
2025-09,EDGA Equities (J),560670514,613880761,1653309704,2827860979,25624483067.753902,28254843228.998,37614619582.3,91493945879.0519,8512404,2889156,10949483,22351043
2025-09,EDGX Equities (K),3139218311,3408145358,10537058416,17084422085,157942143801.45352,192433015452.64502,386528530905.0929,736903690159.1914,34966437,19081762,75527276,129575475
2025-09,FINRA / NYSE TRF (DN),2325562091,1644211437,6402625462,10372398990,104165258654.15028,57087486946.21489,190346161928.18668,351598907528.5519,13724700,4095980,19641618,37462298
2025-09,FINRA / Nasdaq TRF Carteret (DQ),53264841813,34779907178,96404691210,184449440201,2516603354746.8,1595791661334.8335,3912315069841.7656,8024710085923.399,368822638,103761934,449518630,922103202
2025-09,FINRA / Nasdaq TRF Chicago (DB),291280014,169387759,692471764,1153139537,15636660096.5444,8243973687.6385,46009937767.95449,69890571552.1374,1968374,719665,4019911,6707950
2025-09,Investors Exchange (V),4710178726,1883699738,4999011995,11592890459,233759245335.45532,112587129238.15088,251902480283.26453,598248854856.8707,52980042,8930397,48257488,110167927
2025-09,LTSE (L),8894734,5455995,12463555,26814284,436665601.99500006,210711038.8182,455685740.78849995,1103062381.6016998,99368,28362,122208,249938
2025-09,MIAX Pearl (H),702987164,1246035335,2346079100,4295101599,24740293524.742798,56929276663.4001,64574588487.46791,146244158675.61078,6396329,4663032,11227842,22287203
2025-09,Members Exchange (U),1455034308,1626420345,4190441518,7271896171,71771488912.95181,93975213670.6615,152312331820.50052,318059034404.11383,14500154,7765983,22757857,45023994
2025-09,NASDAQ (Q),10566474951,5052439837,39076659317,54695574105,652865790581.0287,481203276645.2704,2624439374011.948,3758508441238.2476,160666831,36499413,275332625,472498869
2025-09,NASDAQ BX (B),297349141,189520712,443763993,930633846,22474129850.027206,10195169182.493599,26461164111.450104,59130463143.970894,4433201,1243244,5245616,10922061
2025-09,NASDAQ PSX (X),135634191,90663342,182594427,408891960,9330451147.313799,9901314013.822,12548620662.575302,31780385823.7111,2382901,510239,2749558,5642698
2025-09,NYSE (N),27324293133,1905936042,3172425423,32402654598,1572655477909.613,112761003731.95988,127392288993.78731,1812808770635.3604,131248641,9821051,28532592,169602284
2025-09,NYSE American (A),121798538,976635431,160693210,1259127179,6499170972.4295,12795263055.061102,7494897353.8876,26789331381.378197,1348946,2219349,1398838,4967133
2025-09,NYSE Arca (P),5735685340,10730932299,20584083907,37050701546,291158736610.08,811501608596.5289,791605182601.7844,1894265527808.3933,71049217,52537202,159941198,283527617
2025-09,NYSE National (C),487774723,301714097,597456174,1386944994,18043466404.8757,13918090694.8563,21536558344.2801,53498115444.012115,5938665,1976550,5884896,13800111
2025-09,NYSE Texas (M),426726387,378314049,620918045,1425958481,34762512924.5814,53200017922.3125,105683833855.17299,193646364702.06693,583998,189685,690374,1464057
